strain	SRR11241254|USA: Seattle, WA	SRR11241255|USA: Seattle, WA	SRR11247076|USA: WA	SRR11247077|USA: WA	SRR11247078|USA: WA	SRR11278091|USA:WA	SRR11278164|USA:WA	SRR11278166|USA:WA	SRR11278167|USA:WA	SRR11410532|USA
0	0	0	0	0	0	0	0	0.449125	0.502671	0
1	0	0	0	0.0619469	0	0	0.133333	0.222011	0.149635	0
2	0	0	0.131169	0	0	0	0	0	0	0
3	0	0.102804	0	0.0541872	0	0	0	0	0	0
4	0.138728	0	0	0	0	0	0	0	0	0
5	0	0	0.868831	0	0	0	0	0	0	0.442982
6	0	0	0	0	0	0	0.265161	0.182692	0.284672	0
7	0	0.0957447	0	0.0823045	0.102128	0.146667	0	0.146172	0.0630228	0
8	0	0	0	0	0	0	0	0	0	0.171875
9	0.861272	0	0	0	0	0	0	0	0	0
10	0	0.801452	0	0.801561	0.897872	0.853333	0.601505	0	0	0.385143
