loc	k	LB	UB
Australia	1	-	-
Australia	2	0.985526	0.985526
Australia	3	0.093969	0.093969
Australia	4	0.000486776	0.000486776
Australia	5	0.000486776	0.000486776
Australia	6	0.000486776	0.000486776
Australia	7	0.000486776	0.000486776
Australia	8	0.000486776	0.000486776
Australia	9	0.000486776	0.000486776
Australia	10	0.000486776	0.000486776
Australia	11	0.000486776	0.000486776
Australia	12	0.000486776	0.000486776
Australia	13	0.000486776	0.000486776
Australia	14	0.000486776	0.000486776
Australia	15	0.000486776	0.000486776
China	1	-	-
China	2	-	-
China	3	-	-
China	4	-	-
China	5	-	-
China	6	-	-
China	7	-	-
China	8	4.40934	4.40934
China	9	0.296579	0.296579
China	10	0.286443	0.286443
China	11	0.286443	0.286443
China	12	0.286443	0.286443
China	13	0.286443	0.286443
China	14	0.286443	0.286443
China	15	0.286443	0.286443
Germany	1	-	-
Germany	2	-	-
Germany	3	1.00504	1.00504
Germany	4	0.00164412	0.00164412
Germany	5	0.00164412	0.00164412
Germany	6	0.00164412	0.00164412
Germany	7	0.00164412	0.00164412
Germany	8	0.00164412	0.00164412
Germany	9	0.00164412	0.00164412
Germany	10	0.00164412	0.00164412
Germany	11	0.00164412	0.00164412
Germany	12	0.00164412	0.00164412
Germany	13	0.00164412	0.00164412
Germany	14	0.00164412	0.00164412
Germany	15	0.00164412	0.00164412
USA	1	-	-
USA	2	-	-
USA	3	-	-
USA	4	-	-
USA	5	-	-
USA	6	-	-
USA	7	-	-
USA	8	5.99591	5.99591
USA	9	2.91087	2.91087
USA	10	0.00876021	1.36438
USA	11	0.209829	0.622592
USA	12	0.00876021	0.0481931
USA	13	0.00876021	0.0271058
USA	14	0.00876021	0.0122326
USA	15	0.00876021	0.00899086
