pos	ref	alt	gene	N/S	AA	nSRAsubclonal	nSRAclonal	nSRA	nConsensus	strain0	strain1	strain2	strain3	strain4	strain5	strain6	strain7	strain8	strain9
1	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	A	T	ORF	S	NULL	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	1	0	1	0	0
5	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	1	1
7	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	A	T	ORF	S	NULL	0	0	0	0	0	1	0	0	0	1	1	0	0	0
10	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	1	0	0	0	0
12	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	A	T	ORF	S	NULL	0	0	0	0	0	0	1	0	0	0	0	0	0	0
17	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	A	T	ORF	S	NULL	0	0	0	0	0	0	1	0	0	0	0	0	0	0
21	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	1
24	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	1	0	0	0	0
28	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	1	0
31	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	1	1	0	0	0	0
39	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	1	0	0
43	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	A	T	ORF	S	NULL	0	0	0	0	0	1	0	1	0	0	0	0	0	0
46	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	1	0	0	0	0	1
57	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	1
59	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	1	0	0
63	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	1	0	0	0	0	0
72	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	1	0	0	0
74	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	1	0
75	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	A	T	ORF	S	NULL	0	0	0	0	0	0	1	0	0	0	0	1	0	0
80	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	A	T	ORF	S	NULL	0	0	0	0	0	0	1	0	0	0	0	0	0	0
91	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	A	T	ORF	S	NULL	0	0	0	0	0	0	1	0	0	0	0	0	0	0
95	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	1	0	1
99	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	1	0	0	0	0	0
100	A	T	ORF	S	NULL	0	0	0	0	0	0	0	0	0	0	0	1	0	0
