strain	SRR11059940|China:Wuhan	SRR11059942|China:Wuhan	SRR11059944|China:Wuhan	SRR11059945|China:Wuhan	SRR11059946|China:Wuhan	SRR11059947|China:Wuhan	SRR11092062|China: Wuhan	SRR11241254|USA: Seattle, WA	SRR11241255|USA: Seattle, WA	SRR11247076|USA: WA	SRR11247077|USA: WA	SRR11247078|USA: WA	SRR11278091|USA:WA	SRR11278164|USA:WA	SRR11278166|USA:WA	SRR11278167|USA:WA	SRR11397717|Australia: Melbourne, Victoria	SRR11397720|Australia: Melbourne, Victoria	SRR11397730|Australia: Melbourne, Victoria	SRR11410532|USA	SRR11426414|Germany: Starnberg	SRR11426415|Germany: Starnberg	SRR11426417|Germany: Starnberg	SRR11426418|Germany: Starnberg	SRR11454607|China: Hubei	SRR11454608|China: Hubei	SRR11454613|China: Hubei	SRR11454614|China: Hubei	SRR11454615|China: Hubei
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221219	0.210027	0.196556	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123629	0.160704	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0.221239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.442982	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666344	0.64274	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0.359226	0	0.206166	0	0.746835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242152	0.186667	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0.229619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0.752294	0.146339	0.272501	0.385671	0.786611	0	0.770381	0	0	0	0	0	0	0	0	0	0	0	0.944223	0	0.353659	0.474684	0.256198	0.917695	1	0.895928	0.943231	1	0.902913
9	0	0	0.468085	0	0.0753138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	1	0	1	1	1	0.778781	0	0	0.757848	0.813333	0	0.557018	0	0	0	0	0	0	0	0	0
11	0.247706	0.273196	0.259414	0.408163	0.138075	0.253165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104072	0.0567686	0	0.0970874
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.646341	0.525316	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0557769	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.743802	0.0823045	0	0	0	0	0
