strain	SRR11059940|China:Wuhan	SRR11059942|China:Wuhan	SRR11059944|China:Wuhan	SRR11059945|China:Wuhan	SRR11059946|China:Wuhan	SRR11059947|China:Wuhan	SRR11092062|China: Wuhan	SRR11241254|USA: Seattle, WA	SRR11241255|USA: Seattle, WA	SRR11247076|USA: WA	SRR11247077|USA: WA	SRR11247078|USA: WA	SRR11278091|USA:WA	SRR11278164|USA:WA	SRR11278166|USA:WA	SRR11278167|USA:WA	SRR11397717|Australia: Melbourne, Victoria	SRR11397720|Australia: Melbourne, Victoria	SRR11397730|Australia: Melbourne, Victoria	SRR11410532|USA	SRR11426414|Germany: Starnberg	SRR11426415|Germany: Starnberg	SRR11426417|Germany: Starnberg	SRR11426418|Germany: Starnberg	SRR11454607|China: Hubei	SRR11454608|China: Hubei	SRR11454613|China: Hubei	SRR11454614|China: Hubei	SRR11454615|China: Hubei
0	0.001	0.22449	0.001	0.001	0.001	0.0816327	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0612245
1	0	0	0	0	0	0	0	0	0	0	0.0806327	0	0	0.182673	0.305122	0.284714	0	0	0	0	0	0	1.11022e-16	0	0	0	0	1.11022e-16	0
2	0	0.345939	0	0.141857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0.998	0	0	0	0	0	0	0	0	0	0	0.0602245	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243898	0.182673	0	0	1.10155e-16	0	0	0	0	0	1.10155e-16	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.652061	0.529612	0	0	0	0	0	0	0
6	0.754102	0.164265	0.265306	0.44898	0.77551	0.673469	0.77451	0	0	0	0	0	0	0	0	0	0	0	0.937776	0	0.345939	0.468388	0.264306	0.917367	0.998	0.896959	0.877551	0.998	0.836735
7	0	0	0	0	0	0	0	0	0	0.998	0	0	0	0	0	0	0	0	0	0.44798	0	0	0	0	0	0	0	0	0
8	0	0	0	1.10155e-16	1.10155e-16	0	0	0	0.998	0	0.917367	0.998	0.998	0.815327	0.22449	0.204082	0.754102	0.815327	0	0.55002	1.10155e-16	0	0	1.10155e-16	0	0	0	0	1.10155e-16
9	0	0	0	0	0	0	0.22349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0602245	0	0
10	0.243898	0.264306	0.264306	0.407163	0.141857	0.243898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101041	0.0602245	0	0.101041
11	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
12	0	0	0.468388	0	0.0806327	0	0	0	0	0	1.11022e-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.468388	0.509204	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10155e-16	0	0.733694	0.0806327	0	0	0	0	0
