strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0.00412879	0.4682	0	0	0.39322	0	0.0045106	0	0	0	0.458191	0	0	0	0	0.092385	0.381622	0.0308313	0.257433	0	0	0	0.0110987	0	0	0	0	0	0.24307	0.0128567	1	0	0	0	0	0	0.217134	0	0	0.147801	0	0	0	0	0	0	0.659526	0.318073	0	0
1	0	0	0	0	0	0.0692125	0	0.614574	0.657947	0	0	0	0	0	0.384557	0.163511	0	0	0.0984563	0	0.40747	0.281055	0.10709	0	0.0115111	0	0	0	0.379177	0	0	0	0.629695	0	0	0.367883	0.0211147	0.325614	0	0	0	0	0	0.495919	0	0.268483	0	0	0	0
2	0	0	0	0	0	0.0727589	0	0	0	0	0.108438	0	0.255297	0	0.165139	0.309767	0.618378	0	0.140969	0.0973545	0.00185248	0	0.131697	0	0	0	0	0.624615	0	0.0353216	0	0	0	0	0	0.362057	0	0	0	0	0.318542	0.0695463	0	0	0	0	0.284649	0	0.0635126	0
3	0.51114	0	0	0	0	0.0259845	0	0.139871	0	0	0	0	0.744703	0	0	0	0	0	0	0	0	0.677406	0	0	0	0	0	0.00553729	0.377753	0.27002	0	0.0564602	0.370305	0.262218	0	0.270059	0	0	0	0	0.369266	0.343517	0	0	0.233475	0	0	0.170157	0	0
4	0.174458	0	0	1	0.295684	0.105892	0.764529	0	0	0.251328	0	0	0	0	0	0.434338	0	0	0.477354	0.152263	0	0	0.673782	0.715361	0	0	0.353042	0	0	0.320422	0	0	0	0.646206	0	0	0	0	0	0	0.27579	0	0	0	0	0	0.0397309	0	0	0.58633
5	0	0.5318	1	0	0.311096	0.109092	0	0	0.226296	0.464534	0	0.472788	0	0.658465	0.342748	0	0	0.349564	0	0	0	0	0	0	0.391431	0	0	0.369848	0	0.178278	0	0	0	0	0.268519	0	0	0.0573187	0	0	0	0.0626753	1	0	0	0.0986916	0	0	0	0
6	0	0	0	0	0	0.325762	0.23096	0.245554	0	0.214069	0	0	0	0.341535	0	0	0	0	0	0.188473	0.491249	0	0	0	0.116944	0.835866	0.646958	0	0	0	0	0	0	0	0	0	0.12181	0	0.577902	0	0.0298402	0	0	0.504081	0	0.331846	0	0.0475144	0	0.130624
7	4.05689e-05	0	0	0	0	0.0983702	0	0	0.115757	0	0	0	0	0	0	0	0	0.619605	0	0.16623	0	0.0415395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12789	0	0	0.232463	0	0.524261	0	0	0.0183932	0.300979	0	0.208721	0.00938944	0
8	0.310233	0	0	0	0	0.192928	0	0	0	0	0.433372	0.527212	0	0	0	0	0	0	0.0257875	0.395679	0.0994278	0	0	0.284639	0.443215	0.164134	0	0	0	0.183102	0	0	0	0.0915763	0.731481	0	0.512052	0	0.422098	0.619737	0	0	0	0	0.677662	0	0	0.207884	0.927098	0
9	0	0	0	0	0	0	0	0	0	0.0700682	0	0	0	0	0.107556	0	0	0	0	0	0	0	0.0763329	0	0.0368996	0	0	0	0	0	0	0.94354	0	0	0	0	0	0.617067	0	0	0.00656239	0	0	0	0.07047	0	0.0160941	0.0476508	0	0.283046
