strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	0.642638	0	0	0.530009	0	0.370971	0	0	0	0	0	0.33768	0	0	0.856269	0.311164	0.494245	0.650609	0	0	0	0.0309863	0.140609	0	0	0	0	0.127497	0	0.486627	0.162935	0.242882	0.33771	0.42249	0	0	0	0	0.0913954	0	0	0	0	0	0	0	0	0	0.227072
1	0	0	0	0	0	0	0	0.0133097	0.211535	0	0	0	0	0	0	0	0.42873	0	0	0	0	0	0.214783	0	0	0	0	0	0.0387927	0	0	0	0.27327	0	0	0.544613	0	0.706455	0	0	0	0	0	0.78538	0	0.15104	0	0	0	0
2	0	0	0	0	0	0	0.24185	0	0	0	1	0	0.137432	0	0.596627	0.0670182	0.219201	0	0.25159	0	0	0	0.547246	0	0	0.108128	0	0.593958	0	1	0.513373	0	0	0.0535236	0	0.345508	0	0	0	0	0.892196	0	0	0	0	0	0.895334	0	0.687055	0
3	0.114391	0	0	0	0	0.853715	0	0.98669	0	0	0	0	0.524888	0	0	0	0	0	0	0	0	0.353999	0	0	0	0	0	0.145697	0.833711	0	0	0.114623	0.402799	0.236397	0	0.109879	0	0	0	0	0	0.206607	0	0	0	0	0	0	0	0
4	0.110684	0	0	1	0.20774	0	0.0355305	0	0	0	0	0	0	0	0	0.0767127	0	0	0.0534577	0.474826	0	0	0.0812012	0.510647	0	0.0463159	0.15388	0	0	0	0	0.263707	0	0.147138	0.164032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.459236
5	0	0.0443383	1	0	0.262252	0	0	0	0.0599396	0.812115	0	0.399782	0	0.567263	0.398522	0	0	0.489259	0	0	0	0	0	0	0	0.615967	0	0.260345	0	0	0	0	0	0	0.24522	0	0	0.182343	0	0.491451	0	0.147466	1	0	0	0.127008	0	0	0	0
6	0	0	0	0	0	0	0.351648	0	0	0.187885	0	0	0	0.432737	0	0	0.0409048	0	0	0	0	0	0	0.280919	0.695289	0.218023	0.84612	0	0	0	0	0	0.0810493	0	0	0	0	0	1	0	0	0	0	0.21462	0	0	0	0	0	0.0975474
7	0.774926	0.276705	0	0	0	0	0	0	0.588584	0	0	0	0	0	0	0	0	0.0164953	0	0.348414	0	0.646001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.068509	0	0.226867	0	0.645926	0	0	0	0.721953	0	0.181165	0	0
8	0	0.0363194	0	0	0	0.146285	0	0	0.025086	0	0	0.600218	0	0	0	0	0	0	0.0443432	0.17676	1	0	0	0.0376065	0.304711	0.00697176	0	0	0	0	0	0.323398	0	0.225231	0.168259	0	0	0	0	0.190287	0	0	0	0	1	0	0	0	0.312945	0
9	0	0	0	0	0	0	0	0	0.114855	0	0	0	0	0	0.00485075	0	0	0	0	0	0	0	0.125783	0.0302183	0	0.00459402	0	0	0	0	0	0.135338	0	0	0	0	0	0.0426937	0	0	0.107804	0	0	0	0	0	0.104666	0.818835	0	0.216144
