strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	1	0	0	0	0	0.0962017	0	0	0	0.127574	0	0.164536	0	0	0.15041	0.454088	0.126624	0	0	0	0	0.343825	0	0	0	0	0	0.00487797	0	0.578213	0	0	0	0.217985	0	0	0	0	0.184297	0	0	0.983612	0	0	0.000960869	0.120067	0	0	0.0181431
1	0	0	0	0	0	0	0	0.294493	0.278256	0	0	0	0	0	0.145857	0.471124	0.0172793	0	0	0	0	0	0.228289	0	0.791577	0	0	0	0.342032	0	0	0	0.906344	0	0	0	0.960059	0	0	0	0	0	0	0.369738	0	0.234046	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0.29378	0	0.2098	0	0.520378	0.0406122	0.528632	0	0.349089	0	0	0	0.00377645	0	0	0	0	0.801789	0	0.692389	0.259403	0	0	0	0	1	0	0	0	0	0.386716	0	0	0	0	0.19898	0.0943441	0	0.157967	0
3	0	0	0	0	0	1	0	0.173732	0	0	0	0	0.608024	0.60166	0.12089	0	0	0	0	0	0	0.369402	0	0	0	0	0	0.198211	0.65309	0.307611	0.162385	0.978431	0.0936562	0.132359	0	0	0	0	0	0	0.11229	0.145205	0	0	0.685677	0	0	0.459208	0	0
4	1	0	0	1	1	0	0.903798	0	0	0	0	0	0	0	0	0.337853	0	0	0.368186	0.95923	0	0	0.0548049	0	0	0	1	0	0	0	0	0	0	0.0472111	0.475597	0	0	0	0	0	0.176803	0	0	0	0	0	0.766038	0	0	0.260293
5	0	0	0.275204	0	0	0	0	0	0.158399	0.992812	0	0	0	0.315522	0.147683	0	0	0.263663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188738	0	0	0	0	0	0	0.155063	0.0163882	0	0	0.167613	0	0	0	0
6	0	0	0	0	0	0	0	0.459667	0	0.00718821	0	0	0	0.0828173	0	0	0	0	0	0	0	0	0	0	0.00276455	0	0	0	0	0	0	0	0	0	0	0	0	0	0.521093	0	0.0806208	0	0	0.630262	0	0.343424	0	0.0643637	0.134943	0.144832
7	0	0	0.724796	0	0	0	0	0	0.563345	0	0	0	0	0	0	0	0	0.246291	0	0.011675	0	0.630598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0399405	0	0	0.105753	0	0.699732	0	0	0.0492233	0.0549758	0	0.235285	0.0959902	0
8	0	0	0	0	0	0	0	0.0721083	0	0	0.578646	1	0	0	0	0	0	0.243768	0.282725	0.0290953	1	0	0	1	0.205659	1	0	0	0	0	0	0	0	0.82043	0.117681	0	0	0	0.478907	0.70995	0	0	0	0	0.0830163	0	0	0	0.6111	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0.0176399	0	0.0651918	0	0	0.119654	0	0	0	0	0.369305	0	0	0	0	0	0	0	0	0.0215687	0	0	0	0	0	1	0	0	0.243571	0	0	0	0.182083	0	0.0195509	0.241143	0	0.576732
