strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	0.192741	0	0	0.202788	0	0.134626	0	0	0	0.841504	0	0	0	0	0.189935	0.39541	0.322598	0.429237	0	0	0	0	0	0	0	0.0540292	0	1	0	0.56023	0	0	0	0.0581888	0	0	0	0	0.388181	0	0	0	0	0	0	0.0722067	0	0	0
1	0	0	0	0	0	0	0	1	0.422028	0.029941	0	0	0	0	0	0	0	0	0	0	0.0468591	0.361065	0	0	0.255399	0	0	0	0	0	0	0	0	0	0	0	0.000829177	0	0	0	0.195426	0	0	0.0955183	0	0.273996	0.278174	0	0	0
2	0	0	0	0	0	0	0.0972762	0	0	0	0.113353	0.0188467	1	0	0.160014	0.178107	0.60459	0	0.0500407	0.00464666	0.0920261	0	0.577103	0	0	0	0.164633	1	0	0.51244	0.43977	0	0	0	0	0.319819	0	0	0	0	0.08182	0	0	0	0	0	0.149474	0	0.519707	0
3	0.295004	0	0.530716	0	0	0.08917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169119	0	0	0	0	0	0	0	0.48756	0	0.0710304	1	0.21809	0	0.680181	0	0	0.315407	0	0.150038	0	0	0.398782	0.448958	0	0.0024485	0.282392	0	0
4	0.704996	0	0	0.585486	0.797212	0	0.266034	0	0	0.452738	0	0	0	0	0	0.631957	0	0	0.263805	0.0735206	0	0	0	0.927372	0	0.0819209	0.117273	0	0	0	0	0	0	0.354342	0.0889725	0	0	0	0	0	0.297537	0	0	0	0	0	0.0276912	0	0	0.481923
5	0	0.807259	0.020476	0	0	0.169138	0	0	0.577972	0.168786	0	0.089183	0	0.221183	0.157232	0	0	0.646924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.109117	0	0	0	0	0.0139172	0	0.57318	1	0	0	0.225475	0.179911	0	0	0
6	0	0	0.15668	0.414514	0	0	0.502064	0	0	0.132041	0	0	0	0.778817	0	0	0	0	0	0.261299	0.109889	0	0	0.0515709	0.362381	0.750732	0.331126	0	0	0	0	0	0	0	0	0	0.837616	0	0.683268	0	0.0769175	0	0	0.5057	0	0	0	0.295646	0	0.223825
7	0	0	0.0479864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304783	0	0.163246	0.0598579	0.347302	0	0	0	0	0.00376204	0	0	0	0	0	0	0	0	0	0.0570106	0	0	0.414939	0	0.42682	0	0	0	0.500529	0.0689394	0.408793	0.189347	0
8	0	0	0.244142	0	0	0.741692	0	0	0	0	0.0451427	0.287279	0	0	0	0	0	0	0.256917	0.497288	0.691368	0	0	0.0210569	0.38222	0.167347	0.329177	0	0	0	0	0.356226	0	0.427568	0.743722	0	0.104544	0	0.00132506	0.182962	0	0	0	0	0.181723	0	0	0	0.290946	0
9	0	0	0	0	0	0	0	0	0	0.216494	0	0.604691	0	0	0.682754	0	0	0	0	0	0	0.122514	0.422897	0	0	0	0	0	0	0	0	0.572744	0	0	0	0	0	1	0	0	0.198261	0	0	0	0.369318	0	0.221155	0.013169	0	0.294253
