strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0.0443278	0.239649	0	0	0.185221	0	0.261379	0	0	0	0.587531	0	0.24114	0	0	0.371978	0.108172	0.972405	0	0	0	0	0	0.186501	0	0	0	0	0.432029	0	0.0554184	0	0	0	0	0	0	0	0	0.311675	0	0	0	0	0	0	0.0901064	0.0137555	0	0
1	0	0	0	0	0	0	0	0.0827644	0.0467896	0	0	0	0	0	0	0	0.108911	0	0	0	0	0.31287	0	0	0.350294	0	0	0	0	0	0.0285626	0	0	0	0	0	0.0501531	0.588533	0.103328	0	0	0	0	0.44473	0	0.143607	0	0	0	0
2	0.0721662	0	0	0	0	0	0	0	0	0	0.412469	0.459827	0.0349187	0	0	0.628022	0.507883	0	0	0	0	0	0.126865	0	0	0	0	0.156242	0	1	0.0685213	0	0	0.469116	0	0.0358863	0	0	0	0	0.675904	0.149144	0	0	0	0	0.357038	0	0.154065	0
3	0.0571009	0	0	0	0	0.661898	0	0.0769175	0	0	0	0	0.28555	0	0	0	0	0	0	0	0	0.00680467	0	0	0	0	0	0.71844	0.567971	0	0.246491	0.290102	1	0.494985	0	0.964114	0	0	0.491877	0	0	0.244033	0	0	0.108414	0	0.0355152	0.156654	0	0
4	0.120311	0	0	1	0.197931	0	0.637844	0	0	0	0	0	0	0	0	0	0	0	0	0.0504482	0	0	0.381774	0.306158	0	0.43013	0.275186	0	0	0	0	0	0	0.00784974	0	0	0	0	0	0	0	0	0	0	0	0	0.489797	0	0	0.473423
5	0.160928	0.241736	0.829832	0	0.616848	0	0	0	0.350374	0.00873595	0	0.027005	0.336755	1	0.827835	0	0	0	0	0	0	0	0	0	0	0	0	0.125319	0	0	0	0	0	0	0.945662	0	0	0.354176	0	0	0	0.42917	1	0	0	0.409452	0	0	0	0
6	0	0	0	0	0	0	0.100777	0.41279	0	0.214463	0	0	0	0	0	0	0.275033	0	0	0	0	0	0	0.0572284	0.0864033	0.309798	0.150351	0	0	0	0.601007	0	0	0	0	0	0	0	0.0686974	0	0	0.0672925	0	0.55527	0	0.413525	0	0.153872	0.0363456	0.490231
7	0.00630862	0.518614	0.170168	0	0	0	0	0	0.602836	0	0	0	0	0	0	0	0	0.0275953	0	0.442918	0	0.680325	0	0.27801	0	0	0.574462	0	0	0	0	0	0	0	0	0	0.854152	0	0	0.353321	0	0.11036	0	0	0	0.0334162	0	0.201264	0.248507	0
8	0.538858	0	0	0	0	0.338102	0	0.427529	0	0	0	0.0859206	0	0	0	0	0	0	1	0.506634	1	0	0	0.0810555	0.563302	0.226533	0	0	0	0	0	0.192316	0	0.0280497	0.0543378	0	0.095695	0	0.336098	0.335004	0	0	0	0	0.891586	0	0	0	0.445449	0
9	0	0	0	0	0	0	0	0	0	0.776801	0	0.427247	0.101636	0	0.172165	0	0	0	0	0	0	0	0.49136	0.0910474	0	0.0335386	0	0	0	0	0	0.517581	0	0	0	0	0	0.0572914	0	0	0.324096	0	0	0	0	0	0.0275434	0.474454	0.115634	0.0363457
