strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	0.250415	0	0	0.168712	0	0.740917	0	0	0	0.332695	0	0.448689	0	0	0.570852	0.793159	1	0	0	0	0	0	0	0	0	0	0	0.407399	0.276586	0.194751	0	0	0	0	0	0	0	0	0.415575	0	0	0.217067	0	0	0.0269168	0	0.0348793	0	0
1	0	0	0	0	0	0	0	0.435461	0.576914	0	0	0	0	0	0	0	0.118766	0	0	0	0.25151	0	0	0	0.439724	0	0	0	0.038672	0	0.286958	0	0.328131	0	0	0.711602	0.717407	0	0	0	0	0	0	0.913219	0	0.455103	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0.00657295	0.431635	0.0610766	0	0	0.429148	0.0880752	0	0.479925	0	0.10705	0	0.462963	0	0	0	0	0.273251	0	0.283525	0.202763	0	0	0	0	0.0556424	0	0	0	0.129027	0.357476	0	0.0860347	0	0	0.104975	0.4836	0	0.841881	0
3	0.15962	0	0	0	0	0.0395834	0	0.158913	0	0	0	0	0.337084	0	0	0	0	0	0	0	0	0.786381	0	0	0	0	0	0.320089	0.553929	0.366129	0.140889	0.0391004	0.628558	0.861014	0	0.232756	0	0	0.124185	0	0.0437764	0.517459	0	0	0.782353	0	0	0.223864	0	0
4	0.156087	0	0	0.0989925	0.745342	0	0.259083	0	0	0	0	0	0	0	0	0	0	0	0.316693	0.868229	0	0	0	0	0	0.611612	0.545871	0	0	0	0	0.170808	0	0.138986	0.267534	0	0	0	0	0	0.21471	0	0	0	0	0	0	0	0	0.438771
5	0	0.112072	0.657375	0	0.0859464	0.415239	0	0	0.234671	0.227266	0	0.107358	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.40666	0	0	0	0	0	0	0.61535	0	0	0	0	0.0939016	0	0.0898855	0.166114	0	0	0.144128	0	0	0	0
6	0	0	0.263818	0.901007	0	0.146599	0	0.284923	0	0.471263	0	0	0	0	0	0	0	0	0	0.0546119	0.439098	0	0	0	0.458379	0.194701	0.454129	0	0	0	0.17464	0	0.0433114	0	0	0	0	0	0.579386	0	0	0	0	0.0867811	0	0.262354	0	0.259217	0	0.441467
7	0.00411602	0.547484	0.0788067	0	0	0	0	0	0.0348628	0	0	0	0	0	0	0	0	0	0	0.0614436	0	0.213619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265691	0	0	0.347565	0	0.392655	0.530784	0	0	0.00652365	0	0.162109	0	0
8	0.680178	0.0900294	0	0	0	0.398579	0	0.120702	0	0	0.660732	0.359024	0	0	0	0	0	0	0.203382	0.0157156	0.202342	0	0	1	0.101897	0.193687	0	0	0	0.0737598	0	0.27845	0	0	0.117116	0	0.0169023	0	0.29643	0.0139311	0	0	0	0	0.217647	0	0	0	0.158119	0
9	0	0	0	0	0	0	0	0	0.153552	0.301472	0	0.101983	0.153151	0	0	0	0	0	0	0	0	0	0.537037	0	0	0	0	0	0	0	0	0.511642	0	0	0	0	0	1	0	0	0.384037	0	0	0	0	0	0.5164	0.31993	0	0.119762
