strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	0.104115	0	0.14078	0.0771416	0	0.116401	0	0	0	0.293662	0	0.113548	0	0	0.225343	0.412902	0.720218	0	0	0	0	0	0	0	0	0	0	0.415204	0	0.683216	0	0	0	0	0	0	0	0	0	0	0	0.652202	0	0	0	0.242692	0	0	0
1	0	0	0	0.229158	0	0	0	0.305411	0.416247	0	0	0	0	0	0	0	0	0	0	0	0.154384	0	0	0	0.175385	0	0	0	0	0	0	0	0	0	0	0.335876	0	0	0.150493	0	0	0	0	0.0852809	0	0.0624374	0	0	0	0
2	0	0	0	0.0149966	0	0	0	0	0	0	0.28576	0	0.108214	0.188918	0	0.57268	0.587098	0	0.168102	0	0	0	0.186394	0	0	0	0	0.076034	0	0.643438	0.316784	0	0	0.078123	0	0.482241	0	0	0	0	0.366832	0.410409	0	0	0	0	0.180824	0	1	0
3	0.442099	0	0	0	0	0.264413	0	0.364862	0	0	0	0	0.778238	0.104709	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0476023	0.584796	0.0385283	0	1	1	0.676052	0	0.106893	0	0	0.00258985	0	0.116974	0.30807	0	0.563331	0	0	0	0	0	0
4	0.22532	0	0	0.00800999	0.00183298	0	0.364436	0	0	0	0	0	0	0	0	0.201976	0	0	0.59341	0	0	0	0	0	0	0	0.101194	0.205544	0	0	0	0	0	0.187787	0	0.0749902	0	0	0.603692	0	0.0448348	0	0	0	0	0	0	0	0	0
5	0	0.895885	0.378348	0	0.921025	0	0	0	0.583753	0.354182	0	0.583327	0	0.207399	1	0	0	0	0	0	0	0	0	0	0	0	0	0.67082	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216384	0.299742	0	0	0.526751	0	0	0	0
6	0	0	0.572388	0.208626	0	0	0.519164	0.329727	0	0.141137	0	0	0	0.0606318	0	0	0	0	0	0	0.708987	0	0	0	0.482311	0.170774	0.486452	0	0	0	0	0	0	0	0	0	0	0	0.166253	0	0.0617354	0	0	0.351388	0	0	0	0.667883	0	0.521808
7	0.0316311	0	0.0492635	0	0	0	0	0	0	0	0	0	0	0.258111	0	0	0	0.279782	0	1	0	1	0	0	0	0	0.412354	0	0	0	0	0	0	0	0	0	1	0	0.0164278	0.948458	0	0.0651368	0.0480561	0	0	0.410811	0	0.218659	0	0
8	0.300949	0	0	0.398429	0	0.735587	0	0	0	0	0.420578	0.181865	0	0.180231	0	0	0	0	0.238488	0	0.136629	0	0	1	0.210284	0.829226	0	0	0	0.318034	0	0	0	0.0580377	1	0	0	0	0.0605451	0.0515419	0	0	0	0	1	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0.504681	0	0.234808	0	0	0	0	0	0	0	0	0	0	0.813606	0	0.132019	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.409623	0	0	0	0	0	0.576485	0.113457	0	0.478192
