strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	0.574056	0	0.287231	0.267077	0	0.234005	0	0	0	0.0541168	0	0.0974945	0	0	0.795419	0.297577	0.423565	0	0	0	0	0.185662	0	0	0	0	0	1	0.232812	1	0.0293235	0.203972	0	0	0.014871	0	0	0	0.195385	0	0	0	0	0	0	0	0	0	0.5054
1	0	0	0	0	0	0.00939606	0	0.874704	0.230205	0	0.200367	0	0.0921556	0	0.540463	0	0.499925	0	0	0	0	0.121782	0.0965961	0	0.146507	0	0	0	0	0	0	0	0.340281	0	0	0.38183	0.445934	0.517977	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0.348708	0	0	0.433097	0	0	0	0.114591	0	0.343282	0	0.0613237	0.204581	0.202498	0	0	0	0	0	0.459417	0	0	0	0	1	0	0.709693	0	0	0	0	0	0.0434688	0	0	0	0	0.212074	0	0	0	0	0	0	0	0.455424	0
3	0.454568	0	0.449099	0	0	0.0512444	0	0.125296	0	0	0.29343	0	0.0679128	0.0477796	0	0	0	0	0	0	0	0.509585	0	0	0	0	0	0	0	0.0120058	0	0.592594	0.196103	0.52633	0	0.345165	0	0	0	0	0.488343	0.30993	0	0	0.214353	0	0	0	0	0
4	0.0964427	0	0	0.0782962	0.723938	0	0.286013	0	0	0.317947	0	0	0	0	0	0	0	0	0	0	0	0	0.141401	0.254117	0	0	0.801629	0	0	0	0	0.0634089	0	0.47367	0	0.214664	0	0	0	0	0	0	0	0	0	0	0	0	0	0.447404
5	0	0.092599	0.142578	0	0.00898416	0.0889624	0	0	0.425281	0.0951354	0	0.142014	0.15977	0.180337	0.163424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3655	0	0	0	0.398629	1	0	0	0	0	0	0	0
6	0	0	0.149015	0.285765	0	0.404365	0.0468845	0	0	0.144388	0	0	0	0.10535	0	0	0	0	0	0	0.27074	0	0	0.295953	0.400754	0	0.198371	0	0	0	0	0	0.259644	0	0	0	0.0620823	0	0.256603	0	0	0	0	1	0	0	0	0	0	0.0307561
7	0.278483	0.0336404	0.259308	0	0	0	0	0	0.344514	0	0	0	0	0.666534	0	0	0	0.576435	0	0.117413	0	0.292912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.306276	0	0	0.719987	0	0.291441	0	0	0.137988	1	0	0	0.162584	0
8	0.170506	0.299704	0	0	0	0.446032	0	0	0	0	0.337496	0.556492	0	0	0	0	0	0	1	0.882587	0.72926	0	0.0211544	0.449929	0.0658194	1	0	0	0	0.0454897	0	0.00447777	0	0	1	0	0.185708	0	0.743397	0.0846279	0	0	0	0	0.318988	0	0	0	0.381991	0
9	0	0	0	0	0	0	0	0	0	0.442529	0	0.301494	0.239385	0	0.23479	0	0	0	0	0	0	0.0757214	0.0957698	0	0.38692	0	0	0	0	0	0	0.310196	0	0	0	0	0	0.116523	0	0	0.299583	0	0	0	0.328671	0	1	1	0	0.0164392
