strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	0.44926	0	0.470786	0.131626	0	0.368081	0	0	0	0.305764	0	0	0	0	0.552043	0.577577	0.0848058	0.0938693	0	0	0	0	0.748707	0	0	0.11112	0	0.575986	0	0.206244	0	0.0314041	0	0	0	0	0.234198	0	0.426769	0	0	0.360311	0	0	0	0	0	0	0
1	0	0	0	0	0.0774944	0.0363739	0	1	0.408471	0	0	0	0	0	0	0	0.334172	0	0	0	0.484599	0	0	0	0.638685	0	0	0	0.408167	0	0	0	0.534657	0	0	0	0.466068	0.381174	0.0579768	0	0	0	0	0.232117	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0.694236	0.114007	0.450838	0	0.183499	0.447957	0.0882509	0	0.0548849	0	0	0	0.230423	0	0	0	0	1	0	0.966841	0.127404	0	0	0	0	0.793041	0	0.031951	0	0	0.0445432	0.289322	0	0	0	0	0.0524837	0	0.208448	0
3	0.0585405	0	0.0859659	0	0	0.382119	0	0	0	0	0	0	0.549162	0	0	0	0	0	0	0	0	0	0	0.0279843	0	0	0	0	0.0158468	0.0331593	0.666352	0.1126	0.265873	0.798476	0	0.206959	0	0	0.0570419	0	0.554866	0.0161507	0	0.0562708	0.489366	0	0	0	0	0
4	0.206346	0	0	0.019374	0.614735	0	0.631919	0	0	0	0	0	0	0	0	0	0	0	0.167758	0.718121	0	0	0.258658	0.01011	0	0	0.157073	0	0	0	0	0.58762	0	0.0151965	0.0986564	0	0	0	0.125153	0	0.105836	0	0	0	0	0	0	0	0	0
5	0	0.0319821	0.680886	0	0.013432	0.131295	0	0	0.591529	0.703046	0	0.358553	0	0.38157	0.604051	0	0	0.46362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122499	0	0	0.0551437	0	0	0	0.512913	0.386801	0	0	0.930738	0	0	0	0
6	0	0	0.0825137	0.50984	0	0.0466106	0	0	0	0.296954	0	0	0	0.61843	0	0	0	0	0	0	0.0615539	0	0	0.0561769	0.356296	0.823664	0.653665	0	0	0	0	0	0.168065	0	0	0	0	0	0.218344	0	0	0.14887	0	0.711612	0	0	0	0	0	0.996056
7	0.329669	0.456445	0.00157051	0	0.162713	0	0	0	0	0	0	0	0	0	0	0	0	0.451574	0	0.19835	0	1	0	0.0553138	0	0	0.078141	0	0	0	0	0	0	0	0	0	0.533932	0.0272152	0.200478	0.150965	0	0.0327452	0.252888	0	0	0.069262	0	0.311587	0.308334	0
8	0.405444	0.0623132	0.149064	0	0	0.403601	0	0	0	0	0	0.110185	0	0	0	0	0	0	0.683488	0.0835292	0.453847	0	0	0.00548324	0.0050192	0.176336	0	0	0	0	0	0.0828278	0	0.186328	0.778845	0	0	0	0.341006	0.422267	0	0	0	0	0.326072	0	0	0	0.483218	0
9	0	0	0	0	0	0	0	0	0	0	0	0.417256	0	0	0.21245	0	0	0	0	0	0	0	0.510919	0.0962247	0	0	0	0	0	0	0	0.216952	0	0	0	0	0	0.270318	0	0	0.294755	0	0	0	0.184562	0	0.947516	0.688413	0	0.00394408
