strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0.0844467	0.35451	0	0.192235	0	0	0.481375	0	0	0	0.743107	0	0	0	0	0.307542	0.285122	0.540632	0	0	0	0	0	0	0	0	0	0	0.0237417	0	0.308552	0	0.81271	0	0.111198	0.13262	0	0	0	0.557182	0	0	0.570888	0	0	0	0	0.0795156	0	0
1	0	0	0	0	0	0	0	1	0.513529	0	0	0	0	0	0	0.169511	0.137284	0	0	0	0.378141	0.486568	0	0	0.390023	0	0	0	0.310463	0	0	0	0.104648	0	0	0.144068	0.13851	0.303192	0.197828	0	0	0	0	0	0.174697	0.0235815	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0.124361	0.244935	0.655903	0	0.308909	0.00235567	0.044756	0	0.909054	0	0	0	0.0482452	0	0	0	0	0.146242	0	0.809897	0.691448	0	0	0	0	0.291382	0	0	0	0	0.0554533	0	0	0	0	0	0.85786	0	0.0522995	0
3	0.141825	0	0	0	0	0.374399	0	0	0	0	0	0	0.344097	0.126019	0	0.148191	0	0	0	0	0	0.310594	0	0	0	0	0	0.687753	0.196077	0.190103	0	0.193734	0.0438298	0	0	0.336728	0	0	0.139625	0	0.56287	0	0	0	0.0447843	0	0	0.285746	0	0
4	0.111252	0	0	0.34153	1	0	0.518625	0	0	0	0	0.0456734	0	0	0	0.275097	0.369569	0	0	0.18683	0	0	0.709726	0.373204	0	0	0.0584059	0	0	0	0	0	0	1	0.290604	0.0952021	0	0	0	0	0.103621	0	0	0	0	0	0	0	0	0.538645
5	0	0.380092	0.09112	0	0	0.552302	0	0	0.113047	0.206934	0	0.279168	0	0.015621	0.385157	0.0857437	0	0	0	0	0	0	0	0	0	0	0	0.166005	0	0	0	0	0	0	0.0755719	0	0	0.0130269	0	0	0	0.387518	0.429112	0	0	0.25804	0	0	0	0
6	0	0	0.659437	0.466235	0	0	0	0	0	0.793066	0	0.0858954	0	0.580447	0	0	0.137332	0	0	0	0.349336	0	0	0.0959358	0.360736	0.702584	0.675533	0	0.222239	0	0	0	0.0388129	0	0	0	0.183202	0	0.140826	0	0.0554481	0	0	1	0.126764	0.176179	0	0.340796	0.2407	0.0938576
7	0.317918	0.246979	0.249443	0	0	0	0	0	0.373424	0	0	0	0	0.277913	0	0	0.0259369	0.459368	0	0.307241	0	0.202839	0	0	0	0	0.266061	0	0.24748	0	0	0	0	0	0	0	0.0487726	0	0	0.302281	0	0.612482	0	0	0.134172	0.5422	0	0.0704231	0.262233	0
8	0.344558	0.0184187	0	0	0	0.0732981	0	0	0	0	0.132532	0.17773	0	0	0	0	0	0	0.0909459	0.505929	0.272523	0	0	0.53086	0.249241	0.297416	0	0	0	0	0	0.144738	0	0	0.522627	0	0.629515	0	0.521721	0.140537	0	0	0	0	0.353243	0	0	0	0.346407	0
9	0	0	0	0	0	0	0	0	0	0	0	0.166599	0	0	0.305933	0.0115599	0	0	0	0	0	0	0.242028	0	0	0	0	0	0	0	0	0.661528	0	0	0	0	0	0.683781	0	0	0.222607	0	0	0	0.16634	0	0.14214	0.22352	0.0983607	0.367497
