strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0.0191255	0.493104	0	0.187726	0.158433	0	0.470331	0	0	0	0.138197	0	0.114864	0	0	0.0903468	0.833859	1	0	0	0	0.111081	0	0	0	0	0	0	0.25858	0.356456	0.241109	0	0	0	0.0729993	0	0	0	0	0.330061	0	0	0.00275124	0	0	0	0.531692	0	0	0
1	0	0	0	0	0.276448	0	0	0.375281	0.443353	0	0	0	0.240853	0	0.00510645	0.112426	0	0	0	0	0	0.276381	0	0	0.797786	0	0	0	0.624292	0	0.118711	0	0.217369	0	0	0.186117	0.104514	0.500814	0	0.172598	0	0	0	0.393516	0	0.230732	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0.861803	0	0.176485	0.207342	0.222822	0.3293	0.166141	0	0.0835301	0	0	0	0.545174	0	0	0	0	0.404321	0	0.122853	0.636406	0	0	0	0	0.166861	0	0	0	0.102263	0.0636963	0	0	0	0	0	0.162271	0	0.4295	0
3	0.116248	0	0	0	0	0.194138	0	0.624719	0	0	0	0	0.319108	0.387369	0.122667	0	0	0	0	0	0	0.499562	0	0	0	0	0	0.187029	0.117127	0.0715557	0.00377353	0.0757302	0.782631	0	0	0.304894	0	0	0	0	0.668774	0	0	0.081331	0.305407	0	0	0	0	0
4	0.0323859	0	0	0.610204	0.00639524	0	0.529669	0	0	0	0	0	0	0	0	0.467927	0	0	0	0.45519	0	0	0.389917	0.0947662	0	0	0.100596	0.0114186	0	0.414445	0	0	0	1	0.162758	0.342129	0	0	0	0	0	0	0	0.134371	0	0	0.0916952	0	0	0
5	0	0.506896	0.114078	0	0.558724	0.15802	0	0	0.368825	0.465229	0	0.245609	0.105519	0.228949	0.268797	0	0	0	0	0	0	0	0	0	0	0	0	0.397231	0	0	0	0	0	0	0.569424	0	0	0.446947	0	0.0556172	0	0.540268	0.372667	0	0	0.425785	0	0	0	0
6	0	0	0.533225	0.20207	0	0	0	0	0	0.241981	0	0	0	0.108223	0.207087	0	0	0	0	0	0.450977	0	0	0.867013	0.0852793	0	0.122912	0	0	0	0	0	0	0	0	0	0	0	0.0229556	0.011843	0	0	0	0.0369251	0	0	0	0	0	0
7	0.024725	0	0.352697	0	0	0	0	0	0.0424649	0	0	0	0	0.0681175	0	0	0	0	0	0.143718	0	0.0570468	0	0	0	0	0.776492	0	0	0	0	0	0	0	0	0	0.85573	0	0	0.0204474	0	0.459732	0.624582	0.353856	0	0.343483	0	0	0	0
8	0.807515	0	0	0	0	0.647843	0	0	0	0	0	0.754391	0	0	0	0	0	0	0.91647	0.401092	0.549023	0	0	0.0382207	0.116935	1	0	0	0	0.0346902	0	0.451368	0	0	0.194819	0	0.0397565	0	0.977044	0.307171	0	0	0	0	0.533716	0	0	0	0.5705	0
9	0	0	0	0	0	0	0	0	0.145357	0.29279	0	0	0.0431702	0	0.17352	0	0	0	0	0	0	0.0559286	0.0649092	0	0	0	0	0	0	0	0	0.472901	0	0	0	0	0	0.0522386	0	0	0.26753	0	0	0	0.160877	0	0.214342	1	0	1
