strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	0.482772	0	0.325406	0.98412	0	0.0913853	0	0	0	0	0.164993	0	0	0	0.981582	0.189286	0.0897893	0.12927	0	0	0	0	0	0	0	0	0	0.312143	0.0287483	0.599265	0	0.520074	0	0.45988	0.252295	0	0	0	0.533161	0	0	0.49397	0	0	0	0.227772	0.367957	0	0
1	0	0	0	0	0	0	0	0.473677	0.741841	0	0	0	0	0	0	0	0.62055	0	0.106159	0	0	0	0	0	0	0	0	0	0.530704	0	0	0	0.116082	0	0	0.213346	0.809993	0.123849	0.233581	0	0	0	0	0.6137	0.0523798	0.186288	0	0	0	0
2	0	0	0	0.168111	0	0	0	0	0	0	1	0.283024	0.130907	0	0.686557	0.0184179	0.190164	0	0.20719	0	0	0	0.485417	0	0	0	0	0.0689728	0	0.725629	0.181235	0	0	0	0	0.0362012	0	0	0	0	1	0	0	0	0	0.119924	0.544723	0	0.553028	0
3	0.853883	0	0	0	0	0.277008	0	0.224097	0	0	0	0	0.869093	0	0	0	0	0	0	0	0	0.802402	0	0	0	0	0	0.548543	0.0460438	0.013815	0.2195	0.674978	0.0066977	0.600977	0	0.271107	0	0	0.188059	0	0	0	0	0	0.0256317	0	0	0.201031	0	0
4	0.146117	0	0	0.113775	0.0158796	0	0.807676	0	0	0	0	0.0201415	0	0	0	0	0	0	0.326467	0.0350532	0	0	0	0.172489	0	0	0.0492251	0	0	0	0	0	0	0.156282	0.0175063	0.00258531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0.268451	0.507476	0	0	0.270749	0	0	0.258159	0	0	0.0608747	0	0.0914106	0.243573	0	0	0.162205	0	0	0	0	0	0	0	0	0	0.382484	0	0	0	0	0	0	0.113825	0	0	0.0695259	0	0.0462764	0	0.528744	0.50603	0	0	0.161633	0	0	0	0
6	0	0	0.337962	0.160549	0	0.17772	0.100939	0.302226	0	1	0	0.101745	0	0.908589	0	0	0	0	0	0.412699	0.780315	0	0	0.552759	0.206662	0.684031	0.948648	0	0	0	0	0	0.357147	0	0.150818	0.0988774	0	0	0.274872	0	0	0	0	0.3863	0.065215	0.376154	0	0.276713	0	0.593877
7	0	0.248777	0.154562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0619167	0	0.125084	0	0.197598	0	0	0	0	0.0021273	0	0.11111	0	0	0	0	0	0.0450823	0	0.190007	0	0	0.387234	0	0.471256	0	0	0.250957	0.156001	0	0.0474465	0	0
8	0	0	0	0.232159	0	0.274522	0	0	0	0	0	0.237086	0	0	0	0	0	0.590473	0.230915	0.427164	0.219685	0	0	0.274752	0.793338	0.315969	0	0	0	0.231807	0	0	0	0.242742	0.212888	0.0986459	0	0	0.303488	0.0333286	0	0	0	0	0.131979	0	0	0	0.446972	0
9	0	0	0	0	0	0	0	0	0	0	0	0.132136	0	0	0.0698698	0	0	0.0956163	0	0	0	0	0.514583	0	0	0	0	0	0	0	0	0.325022	0	0	0	0.0269426	0	0.806625	0	0	0	0	0	0	0.473837	0	0.227505	0.106852	0	0.406123
