strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	1	0	0.268042	0.262538	0	0.480076	0	0	0	0.0488813	0	0.139244	0	0	0.261544	0.472912	0.322067	0	0	0	0	0.260788	0.041258	0	0	0.037283	0	0.193898	0.0250851	0.0848793	0	0	0	0	0	0.164344	0	0	0	0	0	0.14714	0	0	0	0	0	0	0
1	0	0	0	0.105755	0.434519	0	0	1	0.0655183	0	0.324882	0	0	0	0	0	0.281169	0	0	0	0.0714547	0.113148	0.111733	0	0	0	0	0	0	0	0	0	0.118312	0	0	0	0.154034	0	0.225179	0	0	0	0.0713734	0.255262	0	0	0	0	0	0
2	0	0	0	0.221355	0	0	0	0	0	0	0.0877925	0	0.318063	0	0	0.631362	0.245919	0	0.38681	0	0.656836	0	0.180497	0	0	0	0.221833	0.331781	0	0.15093	0.721999	0	0	0	0	0.20776	0	0	0	0	0.0652849	0	0.172191	0	0	0	0.0645095	0	0.30482	0
3	0.411494	0	0	0	0	0.108535	0	0	0	0	0.439393	0	0.337484	0.157901	0	0	0	0	0	0	0	0.663895	0	0	0	0	0	0.0302142	0.806102	0.761625	0.193121	0.924387	0.253126	0.848265	0	0.79224	0	0	0.11335	0	0.455533	0	0	0	0	0	0	0	0	0
4	0.588506	0	0	0.114153	0.13113	0	0.519924	0	0	0	0	0	0	0	0	0.107094	0	0	0.296342	0.0878906	0	0	0.034542	0.00923584	0	0.0705172	0.0397111	0.201909	0	0	0	0	0	0.151735	0	0	0	0	0	0	0.13113	0	0.353659	0	0	0	0	0	0	0.00659566
5	0	0	0.104886	0	0.171812	0.591919	0	0	0.934482	0.146862	0	0.352988	0	0.291384	0.190302	0	0	0.383745	0	0	0	0	0.0435728	0	0	0	0	0.163826	0	0	0	0	0	0	0.95941	0	0	0	0	0	0	0.31122	0.115659	0	0	0	0	0	0	0
6	0	0	0	0.289547	0	0.0623167	0	0	0	0.853138	0	0	0	0.550715	0	0	0	0	0	0.382901	0.262619	0	0.0596589	0.466098	1	0.790758	0.409186	0	0	0	0	0	0.628562	0	0	0	0.0696108	0	0.383757	0	0	0	0	0.744738	0	0	0	0.241029	0.190152	0.093371
7	0	0	0.895114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0453534	0	0.171707	0	0.129441	0.0646173	0	0	0	0.232053	0	0	0	0	0	0	0	0	0	0.311517	0	0	0	0	0.68878	0.139977	0	0	1	0	0.219388	0.0988605	0
8	0	0	0	0.00114852	0	0.23723	0	0	0	0	0.0990506	0.532133	0	0	0	0	0	0.100521	0.316848	0.357502	0.00909067	0	0.0423574	0.483409	0	0.0364137	0.0599347	0.27227	0	0.0623596	0	0	0	0	0.0405898	0	0.300494	0	0.277715	1	0	0	0	0	1	0	0	0	0.406167	0
9	0	0	0	0	0	0	0	0	0	0	0	0.114879	0.205208	0	0.809698	0	0	0.148314	0	0	0	0.0935161	0.202234	0	0	0.102311	0	0	0	0	0	0.0756135	0	0	0	0	0	1	0	0	0.348053	0	0	0	0	0	0.93549	0.539584	0	0.900033
