strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	0.0284856	0	0	0.875109	0	0.221217	0	0	0.279558	0.0995798	0	0.18261	0	0	0.242886	0.706454	0.344143	0.256707	0	0	0.0478692	0	0	0	0	0	0	1	0	0.512056	0	0	0	0	0.0211368	0	0	0	0.294784	0	0	0.321692	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0.90817	0	0.133396	0	0	0	0	0	0	0.145344	0	0.278236	0	0.00138717	0.437807	0	0	0.138905	0	0	0	0	0	0	0	0.449402	0	0	0.738821	0	0.020638	0.343904	0	0	0	0	0.894012	0	0.0026722	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0.528155	0	0.713796	0	0.0809878	0.215896	0.148202	0	0.101302	0	0.328194	0.164658	0.417339	0	0	0.144286	0	0.298647	0	0.0565006	0.366007	0	0	0	0	0.0367161	0	0.0374012	0	0	0.697655	0	0	0	0	0	0.465436	0	0.773645	0
3	0.398168	0	0.337227	0	0	0.434628	0	0.0918297	0	0	0	0	0.103594	0.253114	0	0	0	0	0	0	0	0.0892497	0	0	0	0	0	0.670564	0	0.169658	0.121937	1	0.401771	0.0274196	0	0.0582308	0	0	0.0867894	0	0	0	0	0.00874486	0.517745	0	0	0	0	0
4	0.601832	0.325465	0	0.319549	0.124891	0	0.778783	0	0	0.0384802	0	0	0	0	0	0.541218	0	0	0.133993	0	0	0	0.478946	0.121396	0	0.32134	1	0	0	0	0	0	0	0.826148	0.146906	0.135198	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0.175048	0.286593	0	0	0	0	0	1	0.268431	0	0.6412	0	0.630764	0.581102	0	0	0	0	0	0	0	0	0	0	0	0	0.0307884	0	0	0	0	0	0	0.118567	0	0	0.593193	0	0.271223	0	0.319967	0.678308	0	0	0.26945	0	0	0	0
6	0	0	0.211778	0.680451	0	0	0	0	0	0.155221	0	0	0	0.116122	0	0	0	0	0	0	0.463654	0	0	0	0.341099	0.078812	0	0	0	0	0	0	0.148826	0	0	0	0	0	0.0402793	0	0	0	0	0.0972428	0	0	0	0.273521	0	0.96143
7	0	0.338115	0.164402	0	0	0	0	0	0	0.0251939	0	0	0	0	0	0	0	0.655857	0	0.0868219	0	0.142634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0958917	0	0.403844	0	0.680033	0	0	0.0456263	0.727878	0	0.40788	0	0
8	0	0.132887	0	0	0	0.565372	0	0	0	0	0.372265	0.0297769	0	0	0	0	0	0	0.229762	0.913178	0.206765	0	0	0.878604	0.280118	0.418156	0	0	0	0.773842	0	0	0	0.146433	0.734526	0	0	0	0.529028	0.0301488	0	0	0	0	0.280671	0	0	0	0.226355	0
9	0	0	0	0	0	0	0	0	0	0.0997202	0	0.329023	0	0	0.33791	0	0	0	0	0	0	0.117783	0.103715	0	0.239878	0.0374057	0	0	0	0	0	0	0	0	0	0.00989699	0	0.252876	0	0	0.302345	0	0	0	0.155957	0	0.534564	0.3186	0	0.0385704
