strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0	1	0	0	0.177093	0	0.237796	0	0	0	0.978274	0	0.0401753	0	0	0.706285	0.617687	0.962961	0	0	0	0	0	0	0	0	0.241219	0	0.244039	0	0.410365	0.0499069	0	0	0	0.0258816	0.208397	0	0	0.0737901	0	0	0.0384006	0	0	0	0.0783775	0	0	0
1	0	0	0	0	0.172781	0	0	0.172667	0.274487	0	0	0	0	0	0.303059	0	0	0	0	0	0.121266	0.0682171	0	0	0.322281	0	0	0	0.271659	0	0	0.227129	0	0	0	0.0118599	0.0649972	0.642049	0	0	0	0	0	0.47422	0	0.163159	0	0	0	0
2	0	0	0	0	0	0	0.155069	0.0278992	0	0	0.0217258	0.302906	0.452781	0	0.0874452	0.293715	0.382313	0	0.810161	0	0.0623002	0	0	0	0	0	0.10849	0.651845	0	0.175174	0.00316099	0	0	0	0	0.00932724	0	0	0	0	0.133762	0.105587	0	0	0	0	0.624139	0	0.0529682	0
3	0.198624	0	0	0	0	0.987401	0	0.0704371	0	0	0	0	0.253731	0.363105	0.0167596	0	0	0	0	0	0	0.436006	0	0	0	0	0	0.016838	0.152418	0.0992481	0.586474	0.119148	1	0.515986	0	0.0480372	0	0	0.231075	0	0	0.122661	0	0	0.051565	0	0	0.106774	0	0
4	0.678059	0	0	1	0.193713	0	0.480652	0	0	0	0	0	0	0	0	0	0	0	0	0.642879	0	0	0	0.417002	0	0.0298195	0.0842014	0	0	0	0	0.0173142	0	0.186178	0.620914	0.235425	0.415037	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	1	0	0.0808233	0	0	0	0.445416	0.4835	0	0.020681	0	0.0461659	0.416989	0	0	0	0	0	0.527548	0	0	0	0	0	0	0.331317	0	0	0	0	0	0	0.246539	0	0	0	0	0	0	0.440228	0.466323	0	0	0.107357	0	0	0	0
6	0	0	0	0	0	0	0.126484	0.1632	0	0.358347	0	0.0778274	0	0.590729	0	0	0	0	0	0.0289646	0.221216	0	0	0	0.311739	0.0726106	0.059454	0	0.0773099	0	0	0	0	0	0	0.0099142	0.161807	0	0.539557	0	0	0	0	0.52578	0	0.0423266	0	0.135859	0.0193486	0.0595521
7	0.00287609	0	0	0	0.150638	0	0	0.264675	0.280097	0	0	0	0	0	0	0	0	0.0370389	0	0.267113	0.0285034	0.397774	0	0	0	0	0.325459	0	0.254574	0	0	0	0	0	0	0	0.00423939	0	0	0.536556	0	0.331524	0.495277	0	0	0.687158	0	0.234385	0.0974868	0
8	0.120441	0	0	0	0	0.0125987	0	0.301122	0	0	0	0.326681	0	0	0	0	0	0	0.189839	0.061043	0.0391671	0	0	0.582998	0.350791	0.101441	0.181177	0	0	0.725578	0	0.552708	0	0.297836	0.132548	0.511145	0.145523	0	0.229368	0.389654	0	0	0	0	0.213352	0	0	0	0.830196	0
9	0	0	0	0	0.224952	0	0	0	0	0.158153	0	0.271905	0.253312	0	0.175747	0	0	0	0	0	0	0.0980028	1	0	0.015189	0.796128	0	0	0	0	0	0.0337941	0	0	0	0.14841	0	0.357951	0	0	0.866238	0	0	0	0.735083	0	0.297484	0.522982	0	0.940448
