strain	sample0|Earth	sample1|Earth	sample2|Earth	sample3|Earth	sample4|Earth	sample5|Earth	sample6|Earth	sample7|Earth	sample8|Earth	sample9|Earth	sample10|Earth	sample11|Earth	sample12|Earth	sample13|Earth	sample14|Earth	sample15|Earth	sample16|Earth	sample17|Earth	sample18|Earth	sample19|Earth	sample20|Earth	sample21|Earth	sample22|Earth	sample23|Earth	sample24|Earth	sample25|Earth	sample26|Earth	sample27|Earth	sample28|Earth	sample29|Earth	sample30|Earth	sample31|Earth	sample32|Earth	sample33|Earth	sample34|Earth	sample35|Earth	sample36|Earth	sample37|Earth	sample38|Earth	sample39|Earth	sample40|Earth	sample41|Earth	sample42|Earth	sample43|Earth	sample44|Earth	sample45|Earth	sample46|Earth	sample47|Earth	sample48|Earth	sample49|Earth
0	0.0874188	0.701387	0	0	0.0957132	0	0.486334	0	0	0	0	0	0	0	0	1	0.527813	0.000575675	0.0573502	0	0	0	0	0.00659838	0	0	0	0	0.353088	0	1	0	0.0177057	0	0	0	0.0981368	0	0	0	0	0	0.517044	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	1	0.147033	0	0	0	0	0	0	0	0.0571186	0	0.217126	0	0.44275	0.0352146	0.198438	0	0.306434	0	0	0	0.0586801	0	0	0	0.0282153	0	0	0	0.127555	0.00216229	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	1	0	0.966852	0	0.146059	0	0.240496	0	0.0396573	0	0	0	0.159968	0	0	0	0	0.172775	0	0.18946	0	0	0.229584	0	0	0.712495	0	0.453083	0	0	0.103749	0	0	0	0	0	0.89939	0	0.912063	0
3	0.102315	0	0.219166	0	0	0.623363	0	0	0	0	0	0	0.033148	0.376323	0	0	0	0	0	0	0	0.0950121	0	0	0	0	0	0.827225	0.588232	0.188739	0	1	0.000926097	0.74919	0	0.287505	0	0	0	0	0.575513	0	0	0	0.225181	0	0	0	0	0
4	0.182992	0	0	1	0.871833	0	0.513666	0	0	0	0	0	0	0	0	0	0	0	0.122508	0	0	0	0.215653	0.375661	0	0.135644	0.987462	0	0	0	0	0	0.111495	0.244181	0	0	0.124712	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0.130927	0.0773747	0	0.0324533	0	0	0	0.547761	0.94409	0	0.0745399	0	0.0333117	0.0662266	0	0	0.724998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0298881	0	0.0827013	0	0	0.39662	0	0	0	0	0.435277	0	0	0	0	0	0	0
6	0	0	0.445974	0	0	0	0	0	0	0.0559098	0	0	0	0.332208	0	0	0.174572	0	0	0	0.0156856	0	0	0.155462	0.474737	0.281655	0.0125382	0	0	0	0	0	0.126835	0	0	0	0.172708	0	1	0	0	0	0	1	0	0	0	0	0	0.00073856
7	0.281108	0.167685	0.257486	0	0	0	0	0	0.305206	0	0	0	0	0.258157	0	0	0	0.274426	0	0.715735	0	0.865557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.353722	0.00216342	0	0.569799	0	1	0.0476795	0	0	1	0	0.516595	0	0
8	0.346166	0	0	0	0	0.376637	0	0	0	0	0	0.795071	0	0	0	0	0	0	0.130284	0.284265	0.541564	0	0	0.280851	0.218829	0.0179942	0	0	0	0.621801	0	0	0.455351	0.0066288	0.917299	0	0.123167	0	0	0.430201	0	0	0	0	0.296353	0	0	0	0.0879373	0
9	0	0	0	0	0	0	0	0	0	0	0	0.130389	0	0	0.787715	0	0	0	0.433075	0	0	0.00421623	0.42594	0.181426	0	0.564707	0	0	0	0	0	0	0	0	0	0	0	0.145971	0	0	0.320738	0	0	0	0.478466	0	0.10061	0.483405	0	0.999261
