strain	SRR11241254|USA: Seattle, WA	SRR11241255|USA: Seattle, WA	SRR11247076|USA: WA	SRR11247077|USA: WA	SRR11247078|USA: WA	SRR11278091|USA:WA	SRR11278164|USA:WA	SRR11278166|USA:WA	SRR11278167|USA:WA	SRR11410532|USA
0	0	0	0.0909091	0	0	0	0	0	0	0
1	0	0.102804	0	0.0541872	0	0	0	0	0	0
2	0.138728	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0.555874	0.523789	0
4	0	0.801452	0	0.801561	0.897872	0.853333	0.43511	0	0.00549318	0.557018
5	0	0	0	0	0	0	0	0.187755	0.250248	0
6	0	0	0.171429	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0.290323	0	0.0344238	0
8	0	0	0	0.0619469	0	0	0.0345679	0.0811887	0.0521882	0
9	0	0	0	0	0	0	0	0	0	0.171875
10	0.861272	0	0	0	0	0	0	0	0	0
11	0	0.0957447	0	0.0823045	0.102128	0.146667	0.141235	0.000287503	0	0
12	0	0	0.737662	0	0	0	0	0	0	0.271107
13	0	0	0	0	0	0	0.0987654	0.0754849	0	0
14	0	0	0	0	0	0	0	0.0994105	0.133858	0
