strain	SRR11241254|USA: Seattle, WA	SRR11241255|USA: Seattle, WA	SRR11247076|USA: WA	SRR11247077|USA: WA	SRR11247078|USA: WA	SRR11278091|USA:WA	SRR11278164|USA:WA	SRR11278166|USA:WA	SRR11278167|USA:WA	SRR11410532|USA
0	0.138728	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0.171875
2	0	0	0.131169	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0.18537	0.203727	0
4	0	0	0	0	0	0	0	0.0892857	0.142698	0
5	0	0	0.868831	0	0	0	0	0	0	0.271107
6	0	0	0	0	0	0	0.116049	0.0730998	0	0
7	0.861272	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0.290323	0	0.0721047	0
9	0	0.904255	0	0.917695	0.897872	0.853333	0.469677	0.058554	0	0.557018
10	0	0	0	0	0	0	0	0.573446	0.552629	0
11	0	0.0957447	0	0.0823045	0.102128	0.146667	0.123951	0.020245	0.0288407	0
